City,State,State2,Country,Country2,Latitude,Longitude,Name,Price Per Guest,numberOfGuests,Price,roomType,Ratings
Lonavla, Maharashtra,Maharashtra, India,India,18.7532,73.3713,"Bahisht, the Heritage pool villa",54,8,433,Entire villa,5
Assagao, Goa,Goa, India,India,15.60216,73.78241,"4 BHK, A Perfect Luxury Villa, Assagaon-Amanassa 1",43,10,426,Entire villa,4.8
Nerul, Goa,Goa, India,India,15.50139,73.79628,"De La Mer, 4BR Sea Facing Pool Villa in Nerul, Goa",34,12,407,Entire villa,0
Krishnagiri, Tamil Nadu,Tamil Nadu, India,India,12.80346,77.82947,Resort stay with a Pool for large groups,26,16,421,Private room in resort,4.33
Anjuna, Goa,Goa, India,India,15.60231,73.74936,LaZamora-3bhk Lavish Villa with Private Pool,59,7,411,Entire villa,0
Canacona, Goa,Goa, India,India,14.96574,74.04822,Pvt pool-villa getaway 200m from Galgibaga beach,60,7,421,Entire villa,5
Pune, Maharashtra,Maharashtra, India,India,18.537,73.895,Jewelz 6 - Luxury Villa in Koregaon Park,28,16,440,Entire bungalow,4.8
Goa, Goa,Goa, India,India,15.535,73.767,Mingle with the Stars in an Open to Sky Bathroom,27,16,425,Entire home,4.92
Arpora, Goa,Goa, India,India,15.55209,73.75725,6BHK Opulent Luxury Villa with private pool @ Baga,40,12,481,Entire villa,0
Pawnanagar, Maharashtra,Maharashtra, India,India,18.6985033,73.51855949,Dam View Villa 211 (Pure Veg),40,12,481,Farm stay,0
Sadahalli, Karnataka,Karnataka, India,India,13.20511,77.63614,Swisstown Villa by JadeCaps|Theatre - Long Stays,38,12,454,Entire villa,0
Vashist, Himachal Pradesh,Himachal Pradesh, India,India,32.283,77.18,"The Croft Manali- Entire Villa, Cottage, Homestay",79,6,472,Entire cottage,0
Baga, Goa,Goa, India,India,15.56485,73.74799,The Baga Villa Private Pool 5BHK,32,15,481,Entire villa,0
Mandrem, Goa,Goa, India,India,15.65609,73.7169,"Goan house, opposite ashvem beach, complete privcy",111,4,445,Entire home,0
Candolim, Goa,Goa, India,India,15.51347,73.78744,4BHK Villa Belle Vue with Private Pool @Candolim,48,10,481,Entire villa,0
Karjat., Maharashtra,Maharashtra, India,India,19.72129,73.02592,Luxurious Maharaja Tents near Karjat.Heart Nature.,30,16,481,Campsite,0
Candolim, Goa,Goa, India,India,15.51779,73.76391,Baleno Arco Villa,32,15,481,Entire villa,0
Hairiya Gaon, Uttarakhand,Uttarakhand, India,India,29.37481,79.5608,Villa Camelia by The Venya,76,6,457,Entire home,0
Dehradun, Uttarakhand,Uttarakhand, India,India,30.393,78.07247,Malsi Loghut Dehradun-Private cottage with Garden,84,5,421,Private room in bed and breakfast,4
Ooty, Tamil Nadu,Tamil Nadu, India,India,11.41403,76.69173,6 BHK Greenwood- A Heritage Bungalow w/ huge lawn,29,16,465,Entire villa,4.73
Calangute, Goa,Goa, India,India,15.53669,73.7588,Lovely wooden cottage at Calungute,152,3,455,Room in boutique hotel,0
Udaipur, Rajasthan,Rajasthan, India,India,24.58588,73.71219,"4 Burj, Jharokha Suits @Castle Oodeypore",40,12,481,Private room in castle,0
Bagalur, Tamil Nadu,Tamil Nadu, India,India,12.85945,77.87615,Gruham By Chazing Purple,42,10,421,Farm stay,0
Kochi, Kerala,Kerala, India,India,9.96183,76.23963,"Art Deco Bungalow with private pool, Fort Kochi",80,6,480,Entire bungalow,0
Candolim, Goa,Goa, India,India,15.527,73.786,Whitehouse by Hireavilla - 3BR w Valley View,44,9,399,Entire villa,5
Kochi, Kerala,Kerala, India,India,9.96072,76.23802,Beach Gate Bungalows with private pool - CGH Earth,80,6,480,Entire home,0
Vagator, Goa,Goa, India,India,15.59492,73.75086,Casa Amor in Assagao is a 4 bed private pool villa,40,10,399,Entire villa,0
Lucknow, Uttar Pradesh,Uttar Pradesh, India,India,26.857,81.001,Luxe 9BHK Villa w/AC Lounge & Terrace in GomtiNgr,25,16,397,Entire bungalow,5
Marudanapalli, Tamil Nadu,Tamil Nadu, India,India,12.5419,77.76,Lush Resorts - 9 villas with private pool,26,16,409,Private room in resort,0
North Goa, Goa,Goa, India,India,15.53261,73.7686,"5 bed independent villa with pvt. pool, Calangute",32,15,475,Entire home,0
Vagator, Goa,Goa, India,India,15.60502,73.75305,"Sol Sureno, Assagao - Luxury Private Bungalow",33,12,399,Entire bungalow,4.9
Uttarakhand, Uttarakhand,Uttarakhand,India,India,30.06396,78.5186,Aashraya on the Ganga : Himalayan Farmstay Retreat,34,12,412,Farm stay,4.5
Lonavala, Maharashtra,Maharashtra, India,India,18.75567,73.40465,5 bedroom spacious family home. Centrally located,28,16,455,Entire villa,4.5
Mumbai, Maharashtra,Maharashtra, India,India,19.14462,72.79349,#Shubham villa available for events#,28,16,454,Entire bungalow,0
Alibag, Maharashtra,Maharashtra, India,India,18.60635,72.90085,Pvt Resort with Pool at Nagaon Beach.,29,16,469,Entire vacation home,0
Chennai, Tamil Nadu,Tamil Nadu, India,India,12.849,80.246,"Exclusive Beach Villa @ ECR, Chennai.",27,16,430,Entire villa,4.8
Mandrem, Goa,Goa, India,India,15.67294,73.71444,Villa Mandrem - luxury 1 acre 5BHK estate,33,12,397,Entire villa,0
Anjuna, Goa,Goa, India,India,15.60369,73.74936,LaZamora-3bhk Serene Private Pool Villa in Vagator,69,6,411,Entire home,0
Candolim, Goa,Goa, India,India,15.52422,73.77366,8 BHK Luxury Villa With Private Pool - Candolim,27,16,426,Entire villa,0
Anjuna, Goa,Goa, India,India,15.6036,73.7503,LaZamora-3bhk Pvt pool villa with garden & terrace,69,6,411,Entire home,4.67
Udaipur, Rajasthan,Rajasthan, India,India,24.49149,73.58323,Twin four poster room with view of the City Palace,140,3,421,Private room in villa,0
Anjuna, Goa,Goa, India,India,15.58818,73.75156,Individual Luxurious 5BHK PrivatePool Villa Anjuna,27,15,409,Entire villa,0
Lonavala, Maharashtra,Maharashtra, India,India,18.73289,73.36982,Amidst nature a unique & premium 9 bedroom Villa,25,16,402,Entire villa,0
Candolim, Goa,Goa, India,India,15.53,73.766,LookNoMore 5br Pool Villa Candolim Beach 600m,31,13,409,Entire villa,0
Lonavla, Maharashtra,Maharashtra, India,India,18.70496,73.44868,6 bedroom Villa AV Lakeside,28,15,427,Entire villa,0
Chennai, Tamil Nadu,Tamil Nadu, India,India,12.98354,80.26745,Beach Elegance - Sea Side Bungalow,26,16,409,Entire villa,4.75
Kodaikanal, Tamil Nadu,Tamil Nadu, India,India,10.25245,77.47624,Sama Farms,28,16,446,Farm stay,0
Anjuna, Goa,Goa, India,India,15.60411,73.75029,LaZamora | Jacuzzi | Genset | WI-FI | Anjuna,69,6,411,Entire home,5
Dehradun, Uttarakhand,Uttarakhand, India,India,30.39996,78.06553,LeChateau - A Heritage French Colonial Estate,51,8,409,Entire bungalow,0
Mumbai, Maharashtra,Maharashtra, India,India,19.14178,72.80502,Entire Bungalow in Madh with pvt swimming pool XX2,24,16,391,Entire bungalow,0
Morve, Maharashtra,Maharashtra, India,India,18.65139,73.43962,Near Water Fall 3 BHK With Private Swimming Pool,35,12,421,Private room in bungalow,0
Khandala, Maharashtra,Maharashtra, India,India,18.779,73.381,CASA DIOS,30,16,476,Entire villa,0
Kotagiri, Tamil Nadu,Tamil Nadu, India,India,11.40863588,76.89354926,Villa Mystique | Luxury 8BR in Tea Plantations,30,16,487,Entire villa,0
Jaipur, Rajasthan,Rajasthan, India,India,26.89796,75.85622,Exclusive Palace Stay sleeps 8. The Rani Vilas,53,8,421,Castle,4.64
Lonavala, Maharashtra,Maharashtra, India,India,18.74761,73.39841,Lonavalalake 7bhk luxury villa with pool,32,15,481,Entire villa,0
Kutta, Karnataka,Karnataka, India,India,11.96295,76.02185,7 bedrooms # private riverside #serenehome,26,16,421,Entire place,0
Puducherry, Tamil Nadu,Tamil Nadu, India,India,11.918,79.82,Luxury Villa with Private Pool,32,15,481,Entire home,0
New Delhi, Delhi,Delhi, India,India,28.49507,77.13505,Brookwood Gardens Swimming Pool Villa 5 BHK,26,16,421,Farm stay,0
Chikkamagaluru, Karnataka,Karnataka, India,India,13.35488,75.66652,"Silver Fern, Homestay near Bhadra Wildlife Santury",27,16,425,Private room in bed and breakfast,0
Calangute, Goa,Goa, India,India,15.52981,73.76372,4 BHK SUPER LUXURY APARTMENT @ CANDOLIM,43,10,430,Entire serviced apartment,0
Diveagar Karle, Maharashtra,Maharashtra, India,India,18.15195,73.00159,Red Stone Village Farmstays - Bungalow 1,35,12,421,Farm stay,0
Bhilar, Maharashtra,Maharashtra, India,India,17.91247,73.76019,Palatial Palace,30,16,481,Entire villa,0
Maravanthe, Karnataka,Karnataka, India,India,13.72748,74.6406,Kundapura Beach stay: AC Deluxe Cottage,140,3,421,Private room in cottage,0
Anjuna, Goa,Goa, India,India,15.60248,73.74889,LaZamora | Pool | 2.5 KM Beach | WI-FI | Anjuna,67,6,399,Entire home,0
Wavarle, Maharashtra,Maharashtra, India,India,18.91837,73.27995,"StayVista at Twilight Grove - 4BR w/ BBQ, Pool",34,12,410,Entire villa,0
Mount Abu, Rajasthan,Rajasthan, India,India,24.59639,72.71436,Bungalow with Garden & Terrace Near Nakki Lake,30,14,421,Entire home,0
Candolim, Goa,Goa, India,India,15.51391,73.76975,4BHK Lilac Villa with a private pool @ Candolim,42,10,421,Entire villa,0
Thattekad, Kerala,Kerala, India,India,10.1069,76.70425,Sparrow Vale Resorts-Entire Property for one group,26,16,414,Entire cottage,0
